dissatisfaction_last_year,dissatisfaction_this_year
0.149836513,0.105052664
0.063368075,0.51831022
0.181183024,0.131545581
0.062718656,0.160192704
0.117613417,0.058185379
0.02326161,0.198416437
0.199177579,0.14774801
0.096403626,0.150457937
0.340582757,0.154189605
0.049820336,0.227511359
0.005299779,0.174461655
0.123257593,0.14257033
0.3502651,0.219920655
0.195133035,0.137800018
0.111823125,0.003953834
0.093299022,0.259850579
0.112905187,0.118687431
0.319104543,0.072705874
0.133242547,0.247452288
0.597389242,0.250897161
0.133131858,0.343070939
0.39366843,0.214767403
0.363566179,0.129253171
0.077766758,0.055885714
0.092847339,0.000556286
0.155306861,0.085406597
0.316913646,0.243832498
0.021966177,0.041624122
0.037553773,0.069409674
0.004686219,0.132732102
0.122116803,0.037417609
0.15475283,0.110526245
0.384123607,0.151187016
0.267443355,0.235033508
0.066372579,0.011323334
0.365923559,0.139172121
0.043178218,0.080726186
0.321281292,0.141412518
0.080659081,0.533445212
0.958299461,0.330395523
0.120914913,0.119519706
0.447769183,0.089721258
0.28439667,0.304611892
0.141148703,0.138828731
0.061740676,0.042836672
0.064838248,0.062753562
0.112444555,0.251774337
0.107091037,0.163875591
0.590940417,0.195350198
0.696343863,0.662030547
0.035898632,0.001957056
0.285154239,0.17120932
0.391944329,0.38106063
0.479078137,0.215658439
0.483775322,0.182839466
0.383834582,0.125250875
0.098882128,0.226364537
0.006283848,0.03599252
0.194163811,0.123015944
0.077320788,0.126620233
0.121309799,0.304884118
0.032234785,0.041046098
0.235968892,0.349888352
0.136934713,0.249763309
0.081536111,0.176363955
0.50254271,0.461537649
0.131726246,0.093525674
0.020328663,0.061136187
0.19104847,0.120391957
0.163322605,0.206016002
0.161846818,0.140374148
0.276125128,0.124939114
0.208747552,0.13697032
0.040931934,0.119827991
0.048526688,0.051652311
0.066642499,0.349049387
0.199316566,0.090304649
0.572235472,0.225369607
0.099976753,0.064234182
0.105014116,0.061676276
0.032553975,0.384600745
0.138923847,0.097779968
0.203345898,0.112600205
0.051511952,0.079547264
0.481555952,0.429782575
0.604123653,0.304319861
0.150507768,0.167460781
0.139069496,0.053609597
0.265219291,0.19821276
0.061850157,0.050085634
0.054012498,0.195852006
0.655635826,0.370552972
0.300232462,0.284395885
0.110199197,0.095222446
0.426910046,0.367290177
0.354069077,0.148552715
0.086597786,0.210404387
0.21206335,0.161427272
0.07953183,0.136210047
0.087054408,0.099117841
0.184091089,0.167792371
0.323353232,0.140332681
0.433995968,0.139048601
0.209787366,0.227443289
0.686712824,0.478251822
0.128027176,0.21011061
0.134750959,0.045917483
0.191517298,0.189483401
0.030442738,0.006254079
0.023159973,0.016705322
0.317853199,0.055073525
0.218482148,0.215919241
0.526920016,0.246558975
0.217628896,0.17013277
0.172390814,0.325450851
0.002220003,0.087427912
0.893646733,0.385026019
0.133298804,0.105050835
0.056332144,0.261989258
0.295119561,0.202209384
0.446319151,0.20462744
