iso_lang,language,information_density,distinct_syllables,continent,id,lat,lon
CAT,Catalan,5.49,3600,Europe,20,42.546245,1.601554
CMN,Mandarin,6.96,1274,Asia,156,35.86166,104.195397
DEU,German,6.08,5100,Europe,276,51.165691,10.451526
ENG,English,7.09,6949,Europe,826,55.378051,-3.435973
EUS,Basque,4.83,2082,Europe,,,
FIN,Finnish,5.49,3844,Europe,246,61.92411,25.748151
FRA,French,6.68,2949,Europe,250,46.227638,2.213749
HUN,Hungarian,5.9,4325,Europe,348,47.162494,19.503304
ITA,Italian,5.29,2729,Europe,380,41.87194,12.56738
JPN,Japanese,5.03,643,Asia,392,36.204824,138.252924
KOR,Korean,5.56,1104,Asia,410,35.907757,127.766922
SPA,Spanish,5.43,2778,Europe,724,40.463667,-3.74922
SRP,Serbian,5.47,3831,Europe,688,44.016521,21.005859
THA,Thai,7.19,2438,Asia,764,15.870032,100.992541
TUR,Turkish,5.34,3260,Europe,792,38.963745,35.243322
VIE,Vietnamese,8.02,2776,Asia,704,14.058324,108.277199
YUE,Cantonese,6.53,1298,Asia,344,22.396428,114.109497
